ASX Code,Company Name,Sub-Industry
ENV,Enova Mining Limited Ordinary,Precious Metals & Minerals
ENT,Enterprise Metals Limited Ordinary,Integrated  Mining
ENVO,Enova Mining Limited $0.01 Option Expiring 29-Dec-2028,Precious Metals & Minerals
EOF,Ecofibre Limited Ordinary,Food Processing
ENX,Enegex Limited Ordinary,Specialty Mining & Metals
EOL,Energy One Limited Ordinary,Software
EOS,Electro Optic Systems Holdings Limited Ordinary,Aerospace & Defense
EP1,E&P Financial Group Limited Ordinary,Investment Management & Fund Operators
EPM,Eclipse Metals Limited Ordinary,Integrated  Mining
EPMOA,Eclipse Metals Limited $0.05 Option Expiring 17-Sep-2024,Integrated  Mining
EPN,Epsilon Healthcare Limited Ordinary,Pharmaceuticals
EPX,EP&T Global Limited Ordinary,Software
EPY,Earlypay Ltd Ordinary,Corporate Financial Services
EQE,Equus Mining Limited Ordinary,Integrated  Mining
EQN,Equinox Resources Limited Ordinary,Steel
EQS,Equity Story Group Ltd Ordinary,Investment Management & Fund Operators
EQR,EQ Resources Limited Ordinary,Specialty Mining & Metals
EQT,EQT Holdings Limited Ordinary,Investment Management & Fund Operators
EQX,Equatorial Resources Limited Ordinary,Steel
ERA,Energy Resources of Australia Limited Ordinary 'A',Uranium
ERD,Eroad Limited Ordinary Foreign Exempt NZX,Software
ERG,Eneco Refresh Ltd Ordinary,Non-Alcoholic Beverages
ERL,Empire Resources Limited Ordinary,Integrated  Mining
ERTH,BetaShares Climate Change Innovation ETF,N/A
ERM,Emmerson Resources Limited Ordinary,Integrated  Mining
ESGI,Vaneck MSCI International Sustainable Equity ETF,N/A
ESK,Etherstack PLC CDI 1:1,Software
ERW,Errawarra Resources Ltd Ordinary,Integrated  Mining
ESPO,Vaneck Video Gaming and Esports ETF,N/A
ESR,Estrella Resources Limited Ordinary,Specialty Mining & Metals
ESROB,Estrella Resources Limited $0.02 Option Expiring 13-Dec-2026,Specialty Mining & Metals
ETHI,BetaShares Global Sustainability Leaders ETF,N/A
ESTX,Global X Euro Stoxx 50 ETF,N/A
ETPMAG,Global X Metal Securities Australia Limited Global X Physical Silver,N/A
ETM,Energy Transition Minerals Ltd Ordinary,Integrated  Mining
ETPMPD,Global X Metal Securities Australia Limited Global X Physical Palladium,N/A
ETPMPT,Global X Metal Securities Australia Limited Global X Physical Platinum,N/A
ETPMPM,Global X Metal Securities Australia Limited Global X Physical Precious Metal Basket,N/A
ETRO,Entyr Limited $0.04 Option Expiring 31-Dec-2024,Environmental Services & Equipment
ETR,Entyr Limited Ordinary,Environmental Services & Equipment
EUROB,European Lithium Limited $0.18 Option Expiring 31-Mar-2025,Precious Metals & Minerals
EV1,Evolution Energy Minerals Limited Ordinary,Specialty Mining & Metals
EUR,European Lithium Limited Ordinary,Specialty Mining & Metals
EVG,Evion Group NL Ordinary,Specialty Mining & Metals
EVE,EVE Health Group Limited Ordinary,Other Specialty Retailers
EVGO,Evion Group NL $0.07 Option Expiring 08-Jun-2024,Specialty Mining & Metals
EVN,Evolution Mining Limited Ordinary,Gold
EVO,Embark Early Education Limited Ordinary,Personal Services
EVR,EV Resources Ltd Ordinary,Precious Metals & Minerals
EVRO,EV Resources Ltd $0.04 Option Expiring 31-Aug-2024,Precious Metals & Minerals
EVROA,EV Resources Ltd $0.02 Option Expiring 30-Nov-2026,Precious Metals & Minerals
EVS,Envirosuite Limited Ordinary,Software
EVT,EVT Limited Ordinary,Leisure & Recreation
EVZ,EVZ Limited Ordinary,Construction & Engineering
EWC,Energy World Corporation Ltd Ordinary,Electric Utilities
EX20,BetaShares Australian Ex-20 Portfolio Diversifier ETF,N/A
EXL,Elixinol Wellness Limited Ordinary,Other Specialty Retailers
EX1,Exopharm Limited Ordinary Fully Paid,Biotechnology & Medical Research
EXLO,Elixinol Wellness Limited $0.01 Option Expiring 22-Mar-2027,Other Specialty Retailers
EXP,Experience Co Limited Ordinary,Leisure & Recreation
EXR,Elixir Energy Limited Ordinary,Oil & Gas Exploration and Production
EXROB,Elixir Energy Limited $0.12 Option Expiring 17-Oct-2026,Oil & Gas Exploration and Production
EXTOD,Excite Technology Services Ltd $0.01 Option Expiring 05-Sep-2026,Software
EXT,Excite Technology Services Ltd Ordinary,Software
EYE,Nova Eye Medical Limited Ordinary,Advanced Medical Equipment & Technology
EZL,Euroz Hartleys Group Limited Ordinary,Investment Banking & Brokerage Services
EZZ,EZZ Life Science Holdings Limited Ordinary,Pharmaceuticals
F100,BetaShares FTSE 100 ETF,N/A
FAIR,BetaShares Australian Sustainability Leaders ETF,N/A
FAL,Falcon Metals Ltd Ordinary,Gold
FANG,Global X Fang+ ETF,N/A
FATP,Fat Prophets Global High Conviction Hedge Fund ETF,N/A
FAR,Far Limited Ordinary,Oil & Gas Exploration and Production
FAUO,First AU Limited $0.01 Option Expiring 17-Nov-2024,Gold
FBM,Future Battery Minerals Limited Ordinary,Specialty Mining & Metals
FAU,First AU Limited Ordinary,Gold
FBR,FBR Ltd Ordinary,Heavy Machinery & Vehicles
FCG,Freedom Care Group Holdings Limited Ordinary,Healthcare Facilities & Services
FBU,Fletcher Building Limited Ordinary Foreign Exempt NZX,Construction Supplies & Fixtures
FCL,Fineos Corporation Holdings PLC CDI 1:1,Software
FCT,Firstwave Cloud Technology Limited Ordinary,IT Services & Consulting
FDEM,Fidelity Global Demographics Fund (Managed Fund) ETF,N/A
FDR,Finder Energy Holdings Limited Ordinary,Oil & Gas Exploration and Production
FDV,Frontier Digital Ventures Limited Ordinary,Online Services
FEG,Far East Gold Ltd Ordinary,Integrated  Mining
FEMX,Fidelity Global Emerging Markets Fund (Managed Fund) ETF,N/A
FEX,Fenix Resources Ltd Ordinary,Steel
FFF,Forbidden Foods Limited Ordinary,Food Processing
FFG,Fatfish Group Limited Ordinary,Investment Management & Fund Operators
FFI,FFI Holdings Limited Ordinary,Food Processing
FFG,Fatfish Group Limited Ordinary,Investment Management & Fund Operators
FFM,Firefly Metals Ltd Ordinary,Integrated  Mining
FFI,FFI Holdings Limited Ordinary,Food Processing
FG1,Flynn Gold Limited Ordinary,Gold
FFX,Firefinch Limited Ordinary,Gold
FGG,Future Generation Global Limited Ordinary,Investment Management & Fund Operators
FGH,Foresta Group Holdings Limited Ordinary,Diversified Chemicals
FGLDD,Frugl Group Limited Ordinary Deferred Settlement,Software
FGLDE,Frugl Group Limited $1.50 Option Expiring 20-Jul-2024 Deferred Settlem,Software
FGX,Future Generation Australia Limited Ordinary,Investment Management & Fund Operators
FGR,First Graphene Limited Ordinary,Specialty Mining & Metals
FHE,Frontier Energy Limited Ordinary,Electric Utilities
FHS,Freehill Mining Limited Ordinary,Integrated  Mining
FID,Fiducian Group Limited Ordinary,Investment Management & Fund Operators
FIN,Fin Resources Limited Ordinary,Precious Metals & Minerals
FL1,First Lithium Limited Ordinary,Integrated  Mining
FL1OB,First Lithium Limited $0.30 Option Expiring 08-Jul-2024,Financial Technology (Fintech)
FLN,Freelancer Limited Ordinary,Employment Services
FLC,Fluence Corporation Limited Ordinary,Water & Related Utilities
FLOT,Vaneck Australian Floating Rate ETF,N/A
FLT,Flight Centre Travel Group Limited Ordinary,Leisure & Recreation
FLX,Felix Group Holdings Ltd Ordinary,Software
FMEO,Future Metals NL $0.10 Option Expiring 11-Jun-2024,Integrated  Mining
FME,Future Metals NL Ordinary,Integrated  Mining
FMG,Fortescue Ltd Ordinary,Steel
FML,Focus Minerals Ltd Ordinary,Gold
FND,Findi Limited Ordinary,IT Services & Consulting
FNR,Far Northern Resources Limited Ordinary,Gold
FNX,Finexia Financial Group Limited Ordinary,Investment Banking & Brokerage Services
FOOD,BetaShares Global Agriculture ETF - Currency Hedged ETF,N/A
FOR,Forager Australian Shares Fund Ordinary Units,Investment Management & Fund Operators
FPC,Fat Prophets Global Contrarian Fund Ltd Ordinary,Investment Management & Fund Operators
FOS,FOS Capital Ltd Ordinary,Construction Supplies & Fixtures
FPH,Fisher & Paykel Healthcare Corporation Limited Ordinary Foreign Exempt NZX,"Medical Equipment, Supplies & Dist'n"
FPP,Fat Prophets Global Property Fund Ordinary Units,Diversified REITs
FPR,Fleetpartners Group Limited Ordinary,Corporate Financial Services
FRAR,Franklin Aust ABS Return Bond Fund (Managed Fund) ETF,N/A
FRE,Firebrick Pharma Limited Ordinary,Pharmaceuticals
FRGG,Franklin Global Growth Fund (Managed Fund) ETF,N/A
FRB,Firebird Metals Limited Ordinary,Integrated  Mining
FRI,Finbar Group Limited Ordinary,Homebuilding
FRM,Farm Pride Foods Limited Ordinary,Fishing & Farming
FRS,Forrestania Resources Limited Ordinary,Gold
FRSO,Forrestania Resources Limited $0.25 Option Expiring 29-Nov-2024,Gold
FRSOA,Forrestania Resources Limited $0.15 Option Expiring 30-Jun-2026,Gold
FRSOB,Forrestania Resources Limited $0.07 Option Expiring 20-Nov-2025,Gold
FRX,Flexiroam Limited Ordinary,Wireless Telecommunications Services
FRW,Freightways Group Limited Ordinary Foreign Exempt NZX,N/A
FSA,FSA Group Limited Ordinary,Consumer Lending
FSF,Fonterra Shareholders' Fund Ordinary Units  Foreign Exempt NZX,Investment Management & Fund Operators
FSG,Field Solutions Holdings Limited Ordinary,Wireless Telecommunications Services
FSI,Flagship Investments Limited Ordinary,Investment Management & Fund Operators
FSIGA,Flagship Investments Limited Convert Bond 5.50% 01-10-26 Qtly Red Step T-09-24,Investment Management & Fund Operators
FTC,Fintech Chain Limited CDI 1:1,IT Services & Consulting
FTL,Firetail Resources Limited Ordinary,Specialty Mining & Metals
FUEL,BetaShares Global Energy Companies ETF - Currency Hedged ETF,N/A
FUTR,Janus Henderson GLB Sust Active ETF (Managed Fund) ETF,N/A
FTZ,Fertoz Limited Ordinary,Agricultural Chemicals
FWD,Fleetwood Limited Ordinary,Homebuilding
FXG,Felix Gold Limited Ordinary,Gold
FXGO,Felix Gold Limited $0.15 Option Expiring 19-Jun-2026,Gold
FZR,Fitzroy River Corporation Ltd Ordinary,Oil & Gas Exploration and Production
G11,G11 Resources Limited Ordinary,Specialty Mining & Metals
G1A,Galena Mining Limited Ordinary,Integrated  Mining
G200,BetaShares Wealthbuilder Aus200 Geared Complex ETF,N/A
G50,Gold 50 Limited Ordinary,Specialty Mining & Metals
G6M,Group 6 Metals Limited Ordinary,Specialty Mining & Metals
G88,Golden Mile Resources Ltd Ordinary,Integrated  Mining
G88OA,Golden Mile Resources Ltd $0.04 Option Expiring 30-Jun-2025,Integrated  Mining
GAL,Galileo Mining Ltd Ordinary,Specialty Mining & Metals
GAME,BetaShares Video Games and Esports ETF,N/A
GAP,Gale Pacific Limited Ordinary,Home Furnishings
GAS,State Gas Limited Ordinary,Oil & Gas Transportation Services
GBE,Globe Metals & Mining Limited Ordinary,Integrated  Mining
GBR,Great Boulder Resources Limited Ordinary,Precious Metals & Minerals
GBND,BetaShares Sustainability Leaders Diversified Bond ETF - CUR HDG ETF,N/A
GBZ,GBM Resources Limited Ordinary,Integrated  Mining
GC1,Glennon Small Companies Limited Ordinary,Investment Management & Fund Operators
GCAP,Vaneck Bentham GL Cap SE Active ETF (Managed Fund) ETF,N/A
GC1PA,Glennon Small Companies Limited Cnv Pref 5.60% 30-9-30 Semi CUM EXC Red Res T-3-21,Investment Management & Fund Operators
GCI,Gryphon Capital Income Trust Ordinary Units,Closed End Funds
GCO2,Global X Global Carbon ETF (Synthetic) ETF,N/A
GCM,Green Critical Minerals Limited Ordinary,Integrated  Mining
GCR,Golden Cross Resources Ltd Ordinary,Integrated  Mining
GDC,Global Data Centre Group Units Stapled Securities,Integrated  Mining
GDA,Good Drinks Australia Ltd Ordinary,Brewers
GDF,Garda Property Group Ordinary/Units Stapled Securities,Commercial REITs
GDG,Generation Development Group Limited Ordinary,Insurance Funds
GDI,GDI Property Group Ordinary/Units Stapled Securities,"Real Estate Rental, Devel & Operations"
GDM,Great Divide Mining Ltd Ordinary,Integrated  Mining
GDX,Vaneck Gold Miners ETF,N/A
GEAR,BetaShares Geared Australian Equity Fund (Hedge Fund) ETF,N/A
GED,Golden Deeps Limited Ordinary,Gold
GEM,G8 Education Limited Ordinary,Personal Services
GEN,Genmin Limited Ordinary,Steel
GES,Genesis Resources Limited Ordinary,Integrated  Mining
GFLGA,Global Masters Fund Limited Convert Bond 5.5% 24-11-26 QLY SUB Red T-11-23,Investment Trusts
GGAB,BetaShares Geared Long AUS GOV Bond (Hedge Fund) ETF,N/A
GFL,Global Masters Fund Limited Ordinary,Investment Management & Fund Operators
GGEO,Grand Gulf Energy Limited $0.08 Option Expiring 16-Jun-2025,Oil & Gas Exploration and Production
GGE,Grand Gulf Energy Limited Ordinary,Oil & Gas Exploration and Production
GGFD,BetaShares Geared Long US TR Bond CH (Hedge Fund) ETF,N/A
GGOV,BetaShares US Treasury Bond 20+YR ETF - CCY Hedged ETF,N/A
GGEOA,Grand Gulf Energy Limited $0.03 Option Expiring 13-Oct-2026,Oil & Gas Exploration and Production
GGUS,BetaShares Geared US Equity Fund Currency Hedged (Hedgefund) ETF,N/A
GHHF,BetaShares Wealthbuilder ALL GR Geared Complex ETF,N/A
GGX,Gas2grid Limited Ordinary,Oil & Gas Exploration and Production
GHY,Gold Hydrogen Limited Ordinary,Renewable Fuels
GIVE,Perpetual ESG Australian Share Fund (Managed Fund) ETF,N/A
GIB,Gibb River Diamonds Limited Ordinary,Precious Metals & Minerals
GL1,Global Lithium Resources Limited Ordinary,Specialty Mining & Metals
GLA,Gladiator Resources Limited Ordinary,Integrated  Mining
GLDN,iShares Physical Gold ETF,N/A
GLB,Globe International Limited Ordinary,Apparel & Accessories
GLE,GLG Corp Ltd Ordinary,Apparel & Accessories
GLIN,iShares FTSE Global Infrastructure (AUD Hedged) ETF,N/A
GLH,Global Health Limited Ordinary,Advanced Medical Equipment & Technology
GLL,Galilee Energy Limited Ordinary,Oil & Gas Exploration and Production
GLN,Galan Lithium Limited Ordinary,Specialty Mining & Metals
GLOB,Barrow Hanley Global Share Fund (Managed Fund) ETF,N/A
GLNOB,Galan Lithium Limited $0.65 Option Expiring 20-Mar-2029,Specialty Mining & Metals
GLPR,iShares FTSE Global Property EX AUS (AUD Hedged) ETF,N/A
GLVOA,Global Oil & Gas Limited $0.04 Option Expiring 31-Dec-2025,Oil & Gas Exploration and Production
GLV,Global Oil & Gas Limited Ordinary,Oil & Gas Exploration and Production
GMD,Genesis Minerals Limited Ordinary,Gold
GMG,Goodman Group Ordinary/Units Stapled Securities,Commercial REITs
GMLO,Gateway Mining Limited $0.03 Option Expiring 15-Dec-2026,Integrated  Mining
GML,Gateway Mining Limited Ordinary,Integrated  Mining
GMNO,Gold Mountain Limited $0.01 Option Expiring 07-Mar-2026,Gold
GMTL,Global X Green Metal Miners ETF,N/A
GMN,Gold Mountain Limited Ordinary,Integrated  Mining
GMVW,Vaneck Geared Aust. Equal Weight Fund (Hedge Fund) ETF,N/A
GNE,Genesis Energy Limited Ordinary Foreign Exempt NZX,Electric Utilities
GNG,GR Engineering Services Limited Ordinary,Construction & Engineering
GNC,Graincorp Limited Ordinary Class A,Food Processing
GNM,Great Northern Minerals Limited Ordinary,Integrated  Mining
GNMOC,Great Northern Minerals Limited $0.06 Option Expiring 01-Jul-2025,Integrated  Mining
GNP,Genusplus Group Ltd Ordinary,Construction & Engineering
GNX,Genex Power Limited Ordinary,Electric Utilities
GO2,The GO2 People Ltd Ordinary,Employment Services
GOAT,Vaneck Morningstar International Wide Moat ETF,N/A
GOOD,Janus Henderson Sust CR Active ETF (Managed Fund) ETF,N/A
GOLD,Global X Physical Gold Global X Physical Gold,Investment Management & Fund Operators
GOVT,SPDR S&P/ASX Australian Government Bond Fund ETF,N/A
GOR,Gold Road Resources Limited Ordinary,Gold
GOW,Gowing Bros Limited Ordinary,Apparel & Accessories Retailers
GOZ,Growthpoint Properties Australia Ordinary/Units Stapled Securities,Commercial REITs
GPEQ,Vaneck Global Listed Private Equity ETF,N/A
GPR,Geopacific Resources Ltd Ordinary,Integrated  Mining
GQG,GQG Partners Inc. CDI 1:1 US Person Prohibited Excluding QIB,Investment Management & Fund Operators
GPT,GPT Group Ordinary/Units Stapled Securities,Diversified REITs
GR8,Great Dirt Resources Ltd Ordinary,Integrated  Mining
GRE,Greentech Metals Limited Ordinary,Specialty Mining & Metals
GRL,Godolphin Resources Limited Ordinary,Integrated  Mining
GRLO,Godolphin Resources Limited $0.06 Option Expiring 31-Dec-2024,Gold
GRNV,Vaneck MSCI Australian Sustainable Equity ETF,N/A
GROW,Schroder Real Return (Managed Fund) ETF,N/A
GRR,Grange Resources Limited Ordinary,Steel
GRV,Greenvale Energy Ltd Ordinary,Oil & Gas Exploration and Production
GRX,Greenx Metals Limited Ordinary,Coal
GSBE47,Commonwealth of Australia. Treasury Bond 3.00% 21-03-47 Semi,N/A
GSBG25,Commonwealth of Australia. Treasury Bond 3.25% 21-04-25 Semi,N/A
GSBG27,Commonwealth of Australia. Treasury Bond 4.75% 21-04-27 Semi,N/A
GSBG26,Commonwealth of Australia. Treasury Bond 4.25% 21-04-26 Semi,N/A
GSBG29,Commonwealth of Australia. Treasury Bond 3.25% 21-04-29 Semi,N/A
GSBG33,Commonwealth of Australia. Treasury Bond 4.50% 21-04-33 Semi,N/A
GSBG37,Commonwealth of Australia. Treasury Bond 3.75% 21-04-37 Semi,N/A
GSBI30,Commonwealth of Australia. Treasury Bond 2.50% 21-05-30 Semi,N/A
GSBI28,Commonwealth of Australia. Treasury Bond 2.25% 21-05-28 Semi,N/A
GSBI32,Commonwealth of Australia. Treasury Bond 1.25% 21-05-32 Semi,N/A
GSBI34,Commonwealth of Australia. Treasury Bond 3.75% 21-05-34 Semi,N/A
GSBI41,Commonwealth of Australia. Treasury Bond 2.75% 21-05-41 Semi,N/A
GSBK31,Commonwealth of Australia. Treasury Bond 1.50% 21-06-31 Semi,N/A
GSBK35,Commonwealth of Australia. Treasury Bond 2.75% 21-06-35 Semi,N/A
GSBK39,Commonwealth of Australia. Treasury Bond 3.25% 21-06-39 Semi,N/A
GSBK54,Commonwealth of Australia. Treasury Bond 4.75% 21-06-54 Semi,N/A
GSBK51,Commonwealth of Australia. Treasury Bond 1.75% 21-06-51 Semi,N/A
GSBQ26,Commonwealth of Australia. Treasury Bond 0.50% 21-09-26 Semi,N/A
GSBU24,Commonwealth of Australia. Treasury Bond 0.25% 21-11-24 Semi,N/A
GSBU25,Commonwealth of Australia. Treasury Bond 0.25% 21-11-25 Semi,N/A
GSBU27,Commonwealth of Australia. Treasury Bond 2.75% 21-11-27 Semi,N/A
GSBU28,Commonwealth of Australia. Treasury Bond 2.75% 21-11-28 Semi,N/A
GSBU29,Commonwealth of Australia. Treasury Bond 2.75% 21-11-29 Semi,N/A
GSBU31,Commonwealth of Australia. Treasury Bond 1.00% 21-11-31 Semi,N/A
GSBU32,Commonwealth of Australia. Treasury Bond 1.75% 21-11-32 Semi,N/A
GSBU33,Commonwealth of Australia. Treasury Bond 3.00% 21-11-33 Semi,N/A
GSBW30,Commonwealth of Australia. Treasury Bond 1.00% 21-12-30 Semi,N/A
GSIC50,Commonwealth of Australia.. Treas Indexed Bond CPI+1.00% 21-02-50 QLY,N/A
GSIO35,Commonwealth of Australia.. Treas Indexed Bond CPI+2.00% 21-08-35 QLY,N/A
GSIO40,Commonwealth of Australia.. Treas Indexed Bond CPI+1.25% 21-08-40 QLY,N/A
GSBW34,Commonwealth of Australia. Treasury Bond 3.50% 21-12-34 Semi,N/A
GSIQ25,Commonwealth of Australia.. Treas Indexed Bond CPI+3.00% 20-09-25 QLY,N/A
GSIU27,Commonwealth of Australia.. Treas Indexed Bond CPI+0.75% 21-11-27 QLY,N/A
GSIQ30,Commonwealth of Australia.. Treas Indexed Bond CPI+2.50% 20-09-30 QLY,N/A
GSIU32,Commonwealth of Australia.. Treas Indexed Bond CPI+0.25% 21-11-32 QLY,N/A
GSM,Golden State Mining Limited Ordinary,Gold
GSN,Great Southern Mining Limited Ordinary,Gold
GSRO,Greenstone Resources Limited $0.03 Option Expiring 21-Sep-2025,Integrated  Mining
GSR,Greenstone Resources Limited Ordinary,Integrated  Mining
GSS,Genetic Signatures Limited Ordinary,Advanced Medical Equipment & Technology
GT1,Green Technology Metals Limited Ordinary,Specialty Mining & Metals
GTE,Great Western Exploration Limited Ordinary,Integrated  Mining
GTH,Gathid Ltd Ordinary,Software
GTG,Genetic Technologies Limited Ordinary,Healthcare Facilities & Services
GTK,Gentrack Group Limited Ordinary Foreign Exempt NZX,Software
GTI,Gratifii Limited Ordinary,Software
GTR,GTI Energy Ltd Ordinary,Integrated  Mining
GTN,GTN Limited Ordinary,Advertising & Marketing
GTRO,GTI Energy Ltd $0.03 Option Expiring 20-Oct-2024,Integrated  Mining
GUE,Global Uranium and Enrichment Ltd Ordinary,Gold
GUD,G.U.D. Holdings Limited Ordinary,"Auto, Truck & Motorcycle Parts"
GVF,Staude Capital Global Value Fund Limited Ordinary,Investment Management & Fund Operators
GUL,Gullewa Limited Ordinary,Integrated  Mining
GW1,Greenwing Resources Ltd Ordinary,Integrated  Mining
GWA,GWA Group Limited Ordinary,Construction Supplies & Fixtures
GXAI,Global X Artificial Intelligence ETF,N/A
GWR,GWR Group Limited Ordinary,Integrated  Mining
H100,BetaShares FTSE 100 Currency Hedged ETF,N/A
H2G,Greenhy2 Limited Ordinary,Independent Power Producers
HACK,BetaShares Global Cybersecurity ETF,N/A
HAL,Halo Technologies Holdings Ltd Ordinary,Financial Technology (Fintech)
HARO,Haranga Resources Limited $0.30 Option Expiring 27-Jan-2025,Gold
HAR,Haranga Resources Limited Ordinary,Integrated  Mining
HAV,Havilah Resources Limited Ordinary,Integrated  Mining
HAS,Hastings Technology Metals Ltd Ordinary,Precious Metals & Minerals
HBRD,BetaShares Active Australian Hybrids Fund (Managed Fund) ETF,N/A
HAW,Hawthorn Resources Limited Ordinary,Integrated  Mining
HCD,Hydrocarbon Dynamics Limited Ordinary,Oil & Gas Exploration and Production
HCF,H&G High Conviction Limited Ordinary,Investment Management & Fund Operators
HCH,HOT Chili Limited Ordinary,Specialty Mining & Metals
HCRD,BetaShares Interest Rate Hedged AUS Corp Bond ETF,N/A
HCL,Highcom Limited Ordinary,Aerospace & Defense
HCW,Healthco Healthcare and Wellness Reit Ordinary Units,Specialized REITs
HCT,Holista Colltech Limited Ordinary,Biotechnology & Medical Research
HDN,Homeco Daily Needs Reit Ordinary Units,Commercial REITs
HE8,Helios Energy Ltd Ordinary,Oil & Gas Exploration and Production
HETH,BetaShares Global Sustainability Leaders ETF - CH ETF,N/A
HEUR,BetaShares Europe ETF-Currency Hedged ETF,N/A
HFR,Highfield Resources Limited Ordinary,Agricultural Chemicals
HFY,Hubify Limited Ordinary,Integrated Telecommunications Services
HGBL,BetaShares Global Shares ETF - Currency Hedged ETF,N/A
HGEN,Global X Hydrogen ETF,N/A
HGH,Heartland Group Holdings Limited Ordinary Foreign Exempt NZX,Banks
HGL,Hudson Investment Group Limited Ordinary,"Real Estate Rental, Devel & Operations"
HGO,Hillgrove Resources Limited Ordinary,Specialty Mining & Metals
HGV,Hygrovest Limited Ordinary,Investment Management & Fund Operators
HHR,Hartshead Resources NL Ordinary,Oil & Gas Exploration and Production
HIO,Hawsons Iron Ltd Ordinary,Steel
HIQO,Hitiq Limited $0.05 Option Expiring 31-Oct-2025,Industrial Machinery & Equipment
HIQ,Hitiq Limited Ordinary,Industrial Machinery & Equipment
HIT,Hitech Group Australia Limited Ordinary,Employment Services
HJPN,BetaShares Japan ETF-Currency Hedged ETF,N/A
HJZP,Hejaz Property Fund (Managed Fund) ETF,N/A
HLF,Halo Food Co. Limited Ordinary,Food Processing
HLI,Helia Group Limited Ordinary,Property & Casualty Insurance
HLO,Helloworld Travel Limited Ordinary,Leisure & Recreation
HLS,Healius Limited Ordinary,Healthcare Facilities & Services
HLTH,Vaneck Global Healthcare Leaders ETF,N/A
HLXR,Helix Resources Limited Rights - Applications Close 14-May-2024 Deferred,Integrated  Mining
HLX,Helix Resources Limited Ordinary,Integrated  Mining
HMC,HMC Capital Limited Ordinary,"Real Estate Rental, Devel & Operations"
HM1,Hearts and Minds Investments Limited Ordinary,Investment Management & Fund Operators
HMG,Hamelin Gold Limited Ordinary,Gold
HMD,Heramed Limited Ordinary,Advanced Medical Equipment & Technology
HMI,Hiremii Limited Ordinary,IT Services & Consulting
HMX,Hammer Metals Limited Ordinary,Integrated  Mining
HNDQ,BetaShares Nasdaq-100 ETF - Currency Hedged ETF,N/A
HMY,Harmoney Corp Limited Ordinary,Consumer Lending
HNG,Hancock & Gore Ltd Ordinary,Electrical Components & Equipment
HOR,Horseshoe Metals Limited Ordinary,Integrated  Mining
HPC,The Hydration Pharmaceuticals Company Limited Ordinary,Pharmaceuticals
HPG,Hipages Group Holdings Ltd Ordinary,Online Services
HPI,Hotel Property Investments Ordinary/Units Stapled Securities,Specialized REITs
HPP,Health and Plant Protein Group Limited Ordinary,Food Processing
HPR,High Peak Royalties Limited Ordinary,Oil & Gas Exploration and Production
HQLT,BetaShares Global Quality Leaders ETF Currency Hedged ETF,N/A
HRN,Horizon Gold Limited Ordinary,Gold
HRE,Heavy Rare Earths Limited Ordinary,Precious Metals & Minerals
HRZ,Horizon Minerals Limited Ordinary,Gold
HRZOB,Horizon Minerals Limited $0.10 Option Expiring 30-Jun-2025,Gold
HSN,Hansen Technologies Limited Ordinary,Software
HT8,Harris Technology Group Limited Ordinary,Online Services
HTA,Hutchison Telecommunications (Australia) Limited Ordinary,Wireless Telecommunications Services
HTG,Harvest Technology Group Ltd Ordinary,Electronic Equipment & Parts
HTM,High-Tech Metals Ltd Ordinary,Specialty Mining & Metals
HTMO,High-Tech Metals Ltd $0.25 Option Expiring 19-Jan-2026,Specialty Mining & Metals
HUB,Hub24 Limited Ordinary,Investment Banking & Brokerage Services
HUM,Humm Group Limited Ordinary,Consumer Lending
HVLU,Vaneck MSCI International Value (AUD Hedged) ETF,N/A
HVN,Harvey Norman Holdings Limited Ordinary,Department Stores
HVST,BetaShares Australian Dividend Harvester Fund (Managed Fund) ETF,N/A
HXG,Hexagon Energy Materials Limited Ordinary,Integrated  Mining
HVY,Heavy Minerals Limited Ordinary,Specialty Mining & Metals
HXL,Hexima Limited Ordinary,Biotechnology & Medical Research
HYGG,Hyperion Global Growth Companies Fund (Managed Fund) ETF,N/A
HYD,Hydrix Limited Ordinary,Business Support Services
HYTO,Hyterra Ltd $0.03 Option Expiring 31-Oct-2025,Renewable Fuels
HYT,Hyterra Ltd Ordinary,Renewable Fuels
HYTOA,Hyterra Ltd $0.03 Option Expiring 30-Jun-2025,Renewable Fuels
HZN,Horizon Oil Limited Ordinary,Oil & Gas Exploration and Production
HZRO,Hazer Group Limited $0.75 Option Expiring 28-Feb-2025,Environmental Services & Equipment
HZR,Hazer Group Limited Ordinary,Environmental Services & Equipment
I88,Infini Resources Limited Ordinary,Uranium
IAA,iShares Asia 50 ETF,N/A
IAF,iShares Core Composite Bond ETF,N/A
IAG,Insurance Australia Group Limited Ordinary,Property & Casualty Insurance
IAGPE,Insurance Australia Group Limited Cap Note 3-Bbsw+3.50% Perp non-CUM Red T-06-29,Property & Casualty Insurance
IAGPF,Insurance Australia Group Limited Cap Note 3-Bbsw+3.20% Perp non-CUM Red T-12-30,Property & Casualty Insurance
IAM,Income Asset Management Group Limited Ordinary,Investment Management & Fund Operators
IAMOB,Income Asset Management Group Limited $0.25 Option Expiring 31-Dec-2025,Investment Management & Fund Operators
IBAL,iShares Balanced ESG ETF,N/A
IBC,Ironbark Capital Limited Ordinary,Investment Management & Fund Operators
IBG,Ironbark Zinc Ltd Ordinary,Specialty Mining & Metals
IBGO,Ironbark Zinc Ltd $0.02 Option Expiring 07-Nov-2025,Specialty Mining & Metals
